,Causal Phrase,Sentiment
54,awesomeThe HD features is very good,POSITIVE
55,Rate reasonable nice pic quality,POSITIVE
56,Worth of MoneyGood Sound QualityGood Picture Quality,POSITIVE
57,"quality screen, superb",POSITIVE
58,Picture kwality is super nice,POSITIVE
59,Awesome product at this price picture quality,POSITIVE
60,Good value  picture qualit,POSITIVE
61,Best Android experience TV nice sound quality nice picture,POSITIVE
62,Product is good picture quality,POSITIVE
63,"picture quality is good, head phone out available",POSITIVE
64,picture quality Enjoying its amazing features Excellent,POSITIVE
65,product good picture quality,POSITIVE
66,overall nice picture,POSITIVE
67,Awesome product good picture quality  price is best,POSITIVE
68,for money picture quality is good,POSITIVE
69,very awesome product I like it picture quality very nice,POSITIVE
70,nice sound nice picture quality,POSITIVE
71,the best led tv ever best picture quality sound,POSITIVE
72,product is goodpicture quality awesome,POSITIVE
73,value for money#small price best picture quality#must,POSITIVE
74,PICTURE QUALITY IS AWESOME AND,POSITIVE
75,picture quality awesome fast,POSITIVE
76,nice product picture quality,POSITIVE
77,go for another brandPicture quality,NEUTRAL
78,now happy with tv the picture quality is awesome,POSITIVE
79,"nice,, 4k video support, good sound quality, thanks",POSITIVE
80,Good quality good picture,POSITIVE
81,picture quality is good,POSITIVE
82,perfect TV in perfect costnice pic quality,POSITIVE
83,sound good picture quality,POSITIVE
84,product was good low price nice picture quality,POSITIVE
85,best picture quality,POSITIVE
86,picture quality best led hai nice,POSITIVE
87,very nice product picture quality awesome,POSITIVE
88,good product nice picture quality,POSITIVE
89,Really nice the picture quality is awesome,POSITIVE
90,Picture quality too bad or multiscreen not free,NEGATIVE
91,Excellent picture quality,POSITIVE
92,nice budget led in 40 inch full hd,POSITIVE
93,value for money product cz display quality is best,POSITIVE
94,product best sound best picture quality,POSITIVE
95,very nice mi tv clarity excellent,POSITIVE
96,Awesome product At this Price Must buy Product Picture quality,POSITIVE
97,picture quality very good,POSITIVE
98,Nice product picture clarity better,POSITIVE
99,very good mi led tv nice picture,POSITIVE
100,Awesome Picture quality#Value,POSITIVE
101,value of money Sonal picture quality best,POSITIVE
102,picture quality is too good,POSITIVE
103,features clarity good I feel very happy,POSITIVE
104,good product 4k suppoted picture quality,POSITIVE
105,Pic quality is good,POSITIVE
106,awesome picture quality great deal thanks,POSITIVE
107,money picture Clereaty is good,POSITIVE
108,bad picture quality,NEGATIVE
109,product     good picture quality,POSITIVE
110,Picture quality very nice,POSITIVE
111,budget tv in 49 inch picture quality is good,POSITIVE
112,display song,NEUTRAL
113,picture quality very nicefeature loadedgood,NEUTRAL
114,value for money good tv screen clarity awesome,POSITIVE
115,nice pic quality song effects superb best money valuable,POSITIVE
116,picture good sounds great product thanks,POSITIVE
117,Best picture quality,POSITIVE
118,good pictures,POSITIVE
119,Nice Product superb picture quality,POSITIVE
120,nice tv in low pricepicture quality,POSITIVE
121,Best LED in price range good picture quality,POSITIVE
122,New mi tv #super quality amazing pic quality,POSITIVE
123,Awesome product on 9999/- Picture quality,POSITIVE
124,good according to its price viewing,POSITIVE
125,installed good picture quality nice good sound i am happy,POSITIVE
126,you  value of money  good picture quality,POSITIVE
127,picture good conectivity,POSITIVE
128,good led at very good price super picture quality sound,POSITIVE
129,good sound is good picture quality,POSITIVE
130,nice tv picture quality excellent,POSITIVE
131,product good picture quality,POSITIVE
132,Good Product Nice Picture Quality Sound,POSITIVE
133,Nice i got on RS 11850 wow superb picture quality,POSITIVE
134,range good picture quality,POSITIVE
135,awesome quality picture,POSITIVE
136,Led good picture quality,POSITIVE
137,best product nice display picture quality,POSITIVE
138,Amazing Picture Quality if using good,POSITIVE
139,value for moneygreat picture quality,POSITIVE
140,product nice picture,POSITIVE
141,good picture quality,POSITIVE
142,great picture quality good,POSITIVE
143,mi tv super value for money nice picture quality,POSITIVE
144,product in their budget with good picture quality,POSITIVE
145,video lag problem,NEGATIVE
146,Best tvVideo quality,POSITIVE
147,sound awesomepicture quality,POSITIVE
148,VALUE FOR MONEYSUPERB PICTURE QUALITY,POSITIVE
149,Pics quality awesome sound ok,POSITIVE
150,purchased it yesterday nice product best feature good picture quality,POSITIVE
151,Good picture quality,POSITIVE
152,Excellent picture Quality best,POSITIVE
153,product good picture quality,POSITIVE
154,better display,POSITIVE
155,awesome with super voice clarity Picture quality is very good,POSITIVE
156,nice mi TV good nice picture Quality,POSITIVE
157,picture quality is goodsound quality average,NEUTRAL
158,product with good picture quality,POSITIVE
159,very good anorid tv excellent product picture quality,POSITIVE
160,Good ProductSound Quality �Picture Quality,POSITIVE
161,value for money sounds quality awesome awesome picture quality,POSITIVE
162,nice one led tv paisa vasul audio video quality,POSITIVE
163,superb mi TV  awesome pictures,POSITIVE
164,best quality picture,POSITIVE
165,Nice productPicture quality super,POSITIVE
166,bicose best picture quality,POSITIVE
167,smooth work good picture quality,POSITIVE
168,display quality very poorpls don't purchase,POSITIVE
169,Picture Quality Best value for Money for FHD,POSITIVE
170,"Amazing, value for money, better picture quality",POSITIVE
171,nice picture quality in low price thank,POSITIVE
172,great product on that budget picture quality is ultimate,POSITIVE
173,awesome super full HD graphics,POSITIVE
174,nice smart led value for money amazing picture quality,POSITIVE
175,amazing performance with great picture quality awesome viewing angle,POSITIVE
176,excellent sound excellent picture quality,POSITIVE
177,tv picture is not good,NEGATIVE
178,productbest HD,NEUTRAL
179,don't expect the picture quality as Sony,NEUTRAL
180,Best product in this price range picture quality is  excellent,POSITIVE
181,Good picture qualityBest soundAwesome,POSITIVE
182,Pros: excellent panel with good colors with good contrast ratio,POSITIVE
183,worth the money great quality hd channels,POSITIVE
184,great product by mi I love this good picture quality,POSITIVE
185,Display colour quality,NEUTRAL
186,good picture quality also amazing,POSITIVE
187,TV is very nice good picture quality best,POSITIVE
188,image clarity very nice mi tv 4a pro worth,POSITIVE
189,good product awesome picture quality,POSITIVE
190,product good picture quality,POSITIVE
191,And Good Product Very Nice PictureDisplay,POSITIVE
192,awesome pictures quality good,POSITIVE
193,Bluetooth doesn't work with soundbarvideo,NEGATIVE
194,product picture is good,POSITIVE
195,nice productPicture quality is amazing,POSITIVE
196,Screen Cast function is worst,NEGATIVE
197,superb view picture clearity very good awesome,POSITIVE
198,picture quality good nice,POSITIVE
199,Picture quality is goodScreen casting can b,NEUTRAL
200,quality Colour contrast is awesome Overall best,POSITIVE
201,product Good picture quality,POSITIVE
202,good picture quality,POSITIVE
203,Picture quality is best,POSITIVE
204,clear picture thank,POSITIVE
205,or super HD,POSITIVE
206,picture quality is very good,POSITIVE
207,Product Was Very Poor Picture quality,NEGATIVE
208,Very good picture quality with nice,POSITIVE
209,TV with best picture quality,POSITIVE
210,Verry good Product Superb picture,POSITIVE
211,Nice product with picture quality,POSITIVE
212,clarity  best,POSITIVE
213,vertical line coming on screen disappointed,NEGATIVE
214,colour gradient of the screen is little dim or bad,NEGATIVE
215,picture quality good,POSITIVE
216,Overall its a good led tv with nice picture quality,POSITIVE
217,little problem clarity nahi,POSITIVE
218,Pros Value for moneyGood picture qualitySound,POSITIVE
219,Connectivity  is so good  picture quality,POSITIVE
220,Sound is bad pictures,NEGATIVE
221,"Good product, good picture quality",POSITIVE
222,Nice TV with decent picture,POSITIVE
223,picture qualitySound Good,POSITIVE
224,Excellent Picture Quality,POSITIVE
225,picture quality is awesome,POSITIVE
226,nice quality amazing picture,POSITIVE
227,year its display panel is not working properly no picture,POSITIVE
228,Awesome TV Value For Money picture quality,POSITIVE
229,for money picture quality goo,POSITIVE
230,very nice picture quality,POSITIVE
231,Good picture,POSITIVE
232,working perfect picture quality than,POSITIVE
233,picture quality is very nice,POSITIVE
234,Mi 4A pro  awesome pictures,POSITIVE
235,Great experience Value for moneyClear picture qualit,POSITIVE
236,I'm really satisfied with Mi TV picture quality is awesome,POSITIVE
237,love mi really it gives best picture quality,POSITIVE
238,Good picture quality worth,POSITIVE
239,very nice picture quality,POSITIVE
240,problem with screen sharing,NEGATIVE
241,good quality of product picture quality is amazing,POSITIVE
242,best picture quality thanks,POSITIVE
243,product nice picture,POSITIVE
244,product picture very nice,POSITIVE
245,performance is so good picture quality is awesome,POSITIVE
246,display panel suddenly stopped working,NEGATIVE
247,Quality good picture,POSITIVE
248,"good product, picture quality",POSITIVE
249,Awasom product thanks fliftcartVery good picture quality,POSITIVE
250,good picture quality,POSITIVE
251,Display gets bad,NEGATIVE
252,And good budget The picture quality amazing,POSITIVE
253,tv picture quality is good,POSITIVE
254,product is nice good picture quality,POSITIVE
255,Great mi 4A pro tv nice screen picture Quality,POSITIVE
256,picture quality is best,POSITIVE
257,not supporting  full hd movies,NEGATIVE
258,Lot of problem with mirror screen,NEGATIVE
259,Extraordinary product Sound is very good Picture quality,POSITIVE
260,picture quality was really amazing ,POSITIVE
261,provides very good picture quality,POSITIVE
262,vertical line in tv displayCould,NEUTRAL
263,Good looking picture,POSITIVE
264,Awesome  picture quality with great sound ????Mi is superb,POSITIVE
265,Good product Good picture quality,POSITIVE
266,Picture quality good,POSITIVE
267,Picture quality best in this priceAudio quality average,POSITIVE
268,Very bad display Very disappointed,NEGATIVE
269,good product good quality of pictures,POSITIVE
270,good picture quality,POSITIVE
271,picture bad connectivity worst,NEGATIVE
272,"picture clarity good, sound quality",POSITIVE
273,picture is super awesome,POSITIVE
274,great soundpicture clarity iam happy,POSITIVE
275,Awesome TV picture quality is good,POSITIVE
276,budget android tv with very good picture quality,POSITIVE
277,Very bad products this range screen cast not working,NEGATIVE
278,skillfulpic quality is excellent,POSITIVE
279,Picture quality is too good,POSITIVE
280,Super picture quality awesome,POSITIVE
281,Picture quality is worst,NEGATIVE
282,led smart TV is superb the pic quality is good,POSITIVE
283,watching TV shows via Cable connection  voice clarity so bad,NEGATIVE
284,Picture quality is good,POSITIVE
285,super TV picture nice,POSITIVE
286,good mi smart tv 4apro 32good experiencegood picture,POSITIVE
287,Good product Awesome picture quality,POSITIVE
288,Osam product good picture quality,POSITIVE
289,awesome picture quality for affordable,POSITIVE
290,Picture quality is very good,POSITIVE
291,product very good picture casualty,POSITIVE
292,Picture quality is awesome,POSITIVE
293,picture quality also very good with best,POSITIVE
294,for money picture quality is good,POSITIVE
295,good TV1  Best picture quality,POSITIVE
296,Picture quality is good,POSITIVE
297,The Picture Quality Is very decent,NEUTRAL
298,price picture quality ok,POSITIVE
299,quality pictures quality is best,POSITIVE
300,good Television with good image,POSITIVE
301,good product sale by mi great pictures,POSITIVE
302,average picture is average overall good,POSITIVE
303,great smart tv with great effects,POSITIVE
304,>Refresh rate is good,POSITIVE
305,Nice Picture Quality Sound Is Excellent,POSITIVE
306,Superb smart TV in rs 12499 picture,POSITIVE
307,hd quality super,POSITIVE
308,Good TV good picture quality,POSITIVE
309,osm tv it's amazing picture quality was very good,POSITIVE
310,best TV you could buy awesome picture quality,POSITIVE
311,Amazing Picture QualityThank,POSITIVE
312,picture quality was pretty good over the led was amazing,POSITIVE
313,picture quality as well as good,POSITIVE
314,backlight stop working,NEGATIVE
315,product with great price  suprb picture,POSITIVE
316,awesome video,POSITIVE
317,Dont expect high image quality Does its job,NEUTRAL
318,amazing TV good sound good pictures,POSITIVE
319,Nice tv for low prices pictures quality is best,POSITIVE
320,pros1- Value for money2- Good picture quality,POSITIVE
321,Liked the smart features of TV Picture quality is good,POSITIVE
322,picture quality is good,POSITIVE
323,product with good picture quality,POSITIVE
324,very nice led TV And very clear picture,POSITIVE
325,Good picture Quality,POSITIVE
326,picture quality good,POSITIVE
327,worst tv im using month only display gets picture,NEGATIVE
328,awesome product Good picture quality,POSITIVE
329,picture 5/5,NEUTRAL
330,screen cast is not working,NEGATIVE
331,best Picture quality,POSITIVE
332,good quality  picture,POSITIVE
333,average picture quality,NEUTRAL
334,Good product Awesome Picture Quality,POSITIVE
335,quality is quite poor2 issue of screen,NEUTRAL
336,Super Sound And Picture Quality Thanks,POSITIVE
337,picture quality is good,POSITIVE
338,Picture Quality was Good,POSITIVE
339,very very good  mi led best picture quality,POSITIVE
340,good build in qualitysound is goodpicture,POSITIVE
341,smart tv in this budget excellent picture quality,POSITIVE
342,picture quality with best,POSITIVE
343,Good picture quality,POSITIVE
344,low value good picture quality sound,POSITIVE
345,Product is good with good picture quality,POSITIVE
346,picture clarete is good not a Excellent,NEGATIVE
347,excellent picture quality as well awesome,POSITIVE
348,nice sound quality nice picture quality,POSITIVE
349,good product pic quality,POSITIVE
350,awesome tv with great picture quality,POSITIVE
351,Nice Tv from MI picture quality is excellent,POSITIVE
352,superb Picture quality with great,POSITIVE
353,Awsm In this range picture quality is really impressive,POSITIVE
354,good picture,POSITIVE
355,super picture quality no matter of brightness,POSITIVE
356,not the best picture quality,NEGATIVE
357,awesome picture quality with very nice audible,POSITIVE
358,Nice video quality  best,POSITIVE
359,picture quality good,POSITIVE
360,Awesome  picture quality ,POSITIVE
361,very good picture Quality,POSITIVE
362,amazing product good picture quality,POSITIVE
363,very nice picture quality at very reasonable,POSITIVE
364,super nice  pictures,POSITIVE
365,Awesomepicture quality is superb,POSITIVE
366,"Good product, great picture",POSITIVE
367,good picture quality,POSITIVE
368,picture clearity is awesome paisa Vasool TV superb,POSITIVE
369,hd channels looking,NEUTRAL
370,display quality (HD) is good,POSITIVE
371,best experience with mi tv picture quality,POSITIVE
372,picture quality with nice,POSITIVE
373,worst quality productscreen,NEGATIVE
374,Sound  good picture Qualit,POSITIVE
375,"Best deal at this price range, perfect picture",POSITIVE
376,FriendsAmazing picture quality you will just love,POSITIVE
377,PICTURE QUALITY IS NOT AS EXPECTED,NEUTRAL
378,super sound super picture quality,POSITIVE
379,product nice picture quality,POSITIVE
380,Very Good Picture quality with nice,POSITIVE
381,picture quality best,POSITIVE
382,is awesome because picture quality is nice,POSITIVE
383,also too smartbeautiful pictures,NEUTRAL
384,a great picture quality thank,POSITIVE
385,sound is superb picture quality,POSITIVE
386,good product HD very good pictures,POSITIVE
387,Excellent display quality on set top box / HD channels,POSITIVE
388,"Awesome, picture quality nice",POSITIVE
389,watch best quality in HD,POSITIVE
390,superb product superb picture quality,POSITIVE
391,awesome picture clearity  with reasonable,POSITIVE
392,great product picture quality super,POSITIVE
393,Super HD quality videos,POSITIVE
394,VALUE FOR MONEYgreat picture quality,POSITIVE
395,Sond quality is tooo goodPicture quality,NEUTRAL
396,picture nice,POSITIVE
397,good quality picture,POSITIVE
398,good picture quality,POSITIVE
399,picture quality not good display brightness,NEGATIVE
400,sound best Picture quality&,POSITIVE
401,good picture quality,POSITIVE
402,this tv just awesome best picture quality,POSITIVE
403,Picture quality is excellent with good,POSITIVE
404,screen mirror function does not connect from phone,NEUTRAL
405,its picture is not show so dont buy this worst,NEGATIVE
406,nice tv led picture super,POSITIVE
407,good product good sound good picture quality,POSITIVE
408,really awesome clarity,POSITIVE
409,picture quality is amazing,POSITIVE
410,tv picture quality is so good,POSITIVE
411,awesome TV with good picture clarity,POSITIVE
412,product under 14000 K good picture quality,POSITIVE
413,Connectivity issues mainly while casting video gets stuck,NEGATIVE
414,Android value for money picture quality good,POSITIVE
415,Nice picture quality with great viewing,POSITIVE
416,or screen mirrioing does not happen properly,NEUTRAL
417,main problem is that for mobile screen mirror,NEGATIVE
418,Screen mirroring (screen cast) not Working,POSITIVE
419,good picture quality,POSITIVE
420,Nice tv with all featuresGood Quality display liked,POSITIVE
421,demonstration also very nice picture quality is good,POSITIVE
422,great sound great picture quality,POSITIVE
423,picture quality - Pretty decent Sound quality - Best,POSITIVE
424,picture quality average but sound,NEUTRAL
425,product at this price point display quality also good,POSITIVE
426,TV is very goodpicture quality is excellent,POSITIVE
427,Excellent  product great picture quality,POSITIVE
428,product very good picture,POSITIVE
429,Best picture quality at Hd channel and non hd Chanel has become good,POSITIVE
430,I dont think so brightness,NEUTRAL
431,great picture quality sounds,POSITIVE
432,for money picture quality good,POSITIVE
433,VERY POOR QUALITY AND BAD BRIGHTNESS,NEGATIVE
434,thank very nice picture,POSITIVE
435,oneGood picture quality,NEUTRAL
436,Nice Picture Quality,POSITIVE
437,Nice picture quality,POSITIVE
438,does not have proper screen cast,NEGATIVE
439,picture quality is best,POSITIVE
440,good quality And picture quality,POSITIVE
441,Picture quality is very bad,NEGATIVE
442,children watch cartoon picture quality,NEUTRAL
443,Good picture quality,POSITIVE
444,Almost worth the pricePicture quality is ok,POSITIVE
445,Sound is good Picture quality,POSITIVE
446,Good purchase clear picture,POSITIVE
447,wonderful product picture clearity is so good,POSITIVE
448,Picture quality is very good,POSITIVE
449,Nice picture quality,POSITIVE
450,"Good technology, good connectivity,good picture clarity",POSITIVE
451,Picture quality is excellent,POSITIVE
452,Amazing picture quality,POSITIVE
453,this picture quality is very nice,POSITIVE
454,Nice picture quality,POSITIVE
455,Review after 3 monthsPicture quality best,POSITIVE
456,Nice picture,POSITIVE
457,The sound quality is good Picture,POSITIVE
458,There is so nice picture quality,POSITIVE
459,"good product, mi actilent Tv , picture quality",POSITIVE
460,Excellent picture quality,POSITIVE
461,picture quality is awesome,POSITIVE
462,Nice picture quality,POSITIVE
463,Awesome pictures,POSITIVE
464,Awesome picture quality,POSITIVE
465,Good sound even Picture quality,POSITIVE
466,Picture quality is awesome,POSITIVE
467,Nice picture quality,POSITIVE
468,Sound quality good picture quality,POSITIVE
469,Viewing angles are very poor,NEGATIVE
470,good picture quality,POSITIVE
471,Picture Quality 10/10Sound,NEUTRAL
472,Very nice picture quality,POSITIVE
473,is ok not for super clarity,NEGATIVE
474,Loading Android home screen or patchwall,NEUTRAL
475,The picture quality is superb,POSITIVE
476,Its amazing experience of pictures,POSITIVE
477,view angle nice,POSITIVE
478,Picture quality is very nice,POSITIVE
479,Nice picture quality,POSITIVE
480,Display quality was 80%Connectivity 90% Rest all are good,POSITIVE
481,Super mi super HD,POSITIVE
482,Picture quality is just awesome fabulous,POSITIVE
483,picture clarity nice,POSITIVE
484,contrast to 80 then the picture quality is (great,NEUTRAL
485,display are totally black dont purchase this tv,NEGATIVE
486,Best picture quality,POSITIVE
487,Picture clarity is superb,POSITIVE
488,good picture quality sound,POSITIVE
489,Awesome picture quality,POSITIVE
490,Picture quality is very seper sound goodSimply worth,POSITIVE
491,Nice smart TV with decent picture,POSITIVE
492,LED 43 Inch Android TVGood picture quality,NEUTRAL
493,product picture quality also very good,POSITIVE
494,picture quality also sound quality overall good,POSITIVE
495,best android one an only led tv best picture clarity,POSITIVE
496,Nice picture quality,POSITIVE
497,PICTURE: the picture quality is really amazing,POSITIVE
498,Nice picture quality,POSITIVE
499,picture is really amazing,POSITIVE
500,Nice picture quality,POSITIVE
501,picture quality nice,POSITIVE
502,amazing tv picture quality is good,POSITIVE
503,one this is best HD,POSITIVE
504,Awesome TV no issues picture quality is best,POSITIVE
505,good oneApart from that the picture quality,POSITIVE
506,Very nice we all happy with 43 inch display,POSITIVE
507,Nice picture quality,POSITIVE
508,Nice picture quality,POSITIVE
509,picture quality  awesome,POSITIVE
510,Nice picture quality,POSITIVE
511,Great picture quality decent,POSITIVE
512,The Best Fully Smart Led HD,POSITIVE
513,picture quality of their HD content is good,POSITIVE
514,Super TV nice picture quality,POSITIVE
515,Super clarity fantastic,POSITIVE
516,Screen Mirror cast is not working,NEUTRAL
517,best product to buy at this price picture quality,POSITIVE
518,good picture,POSITIVE
519,picture quality is brilliant sound is awesome,POSITIVE
520,super best picture quality,POSITIVE
521,Perfect picture quality nice,POSITIVE
522,picture quality sound very good,POSITIVE
523,good picture quality,POSITIVE
524,nice product owsom picture quality,POSITIVE
525,Pictures quality is awesome,POSITIVE
526,PICTURE QUALITYTHANK,NEUTRAL
527,Nice picture quality,POSITIVE
528,Excellent quality product (picture quality,POSITIVE
529,awesome picture Quality,POSITIVE
530,worth for 17500 good quality video,POSITIVE
531,best quality of picture,POSITIVE
532,Good average picture quality,POSITIVE
533,quality is goodpicture quality,NEUTRAL
534,can't expect Crisp sharp colour,NEUTRAL
535,one Good for picture,POSITIVE
536,screen cast not working,NEUTRAL
537,brightness is good,POSITIVE
538,picture quality is nice,POSITIVE
539,worth for the amount we have suspendpicture quality,POSITIVE
540,good display quality,POSITIVE
541,"wonderful, picture quality amazing",POSITIVE
542,great of picture quality,POSITIVE
543,Pic Quality is superb nice,POSITIVE
544,quality product picture quality best,POSITIVE
545,bad product picture quality,NEGATIVE
546,nice Led picture,POSITIVE
547,sound picture quality is good,POSITIVE
548,good picture quality,POSITIVE
549,picture quality is superb sound is ok,POSITIVE
550,Picture quality is superb,POSITIVE
551,the the best experience in picture quality,POSITIVE
552,value for money this was average quality picture,POSITIVE
553,it's best in this price satisfactory picture quality,POSITIVE
554,nice super display,POSITIVE
555,Awsome TV nice picture quality,POSITIVE
556,picture quality is really good,POSITIVE
557,picture quality is superb  �Installation was awesome,POSITIVE
558,good picture quality,POSITIVE
559,great picture quality Best,POSITIVE
560,is good picture nice,POSITIVE
561,product picture clarity is very good,POSITIVE
562,good quality  darun sounds  good picture,POSITIVE
563,good picture quality,POSITIVE
564,Nice product pictures,POSITIVE
565,good tv at this price picture quality,POSITIVE
566,Nice picture quality,POSITIVE
567,best picture quality,POSITIVE
568,overall experience is good nice picture quality,POSITIVE
569,quality pictures          THANKS,POSITIVE
570,awesome picture quality,POSITIVE
571,loved the tv it's value for money pic quality,POSITIVE
572,picture quality is good,POSITIVE
573,HD channel pack in set of box for good,POSITIVE
574,picture quality is good,POSITIVE
575,picture quality is best,POSITIVE
576,Great picture quality,POSITIVE
577,worth every penny you spend great picture quality,POSITIVE
578,best smart tv under 13000best picture,POSITIVE
579,is good has very nice picture quality,POSITIVE
580,check HD channels clearity it is awesome,POSITIVE
581,superb picture quality,POSITIVE
582,Good tv with very good clarity,POSITIVE
583,Good picture quality,POSITIVE
584,very good led or nice video,POSITIVE
585,picture quality gud  thanks,POSITIVE
586,It has excellent picture quality,POSITIVE
587,picture quality is excellent,POSITIVE
588,"Good image display, excellent 4K display",POSITIVE
589,excellent product grate picture quality,POSITIVE
590,very nice tv clear picture,POSITIVE
591,after one year start creating problem with screen,NEGATIVE
592,awesome TV par  picture quality,POSITIVE
593,picture quality nice,POSITIVE
594,wife display buffering problem total,NEGATIVE
595,nice picture quality,POSITIVE
596,good clarity,POSITIVE
597,good quality pictures,POSITIVE
598,"Picture, sound quality",NEUTRAL
599,this price superb clarity,POSITIVE
600,The very nice product picture quality,POSITIVE
601,Dont expect more about display,NEUTRAL
602,picture quality  very good,POSITIVE
603,issue i am facing is if i continue watching video,NEUTRAL
604,nice picture quality,POSITIVE
605,picture quality is very nice if the content is HD,POSITIVE
606,Brightness might be low,POSITIVE
607,picture quality very good sound also good connectivity fast,POSITIVE
608,middle class people's dream to get big screen size,POSITIVE
609,sound is quite nicepicture quality is good,POSITIVE
610,Awesome product picture quality is good,POSITIVE
611,Good  picture,POSITIVE
612,sound is good clearity,POSITIVE
613,picture quality with smart,POSITIVE
614,android tv in this range � Picture: qual,NEUTRAL
615,picture quality is awesome thanks,POSITIVE
616,good with good picture quality,POSITIVE
617,very bad quality for pictures not buy,NEGATIVE
618,good product I have too good display a HD,POSITIVE
619,TV picture quality soo good,POSITIVE
620,Because this TV don't have Screen cast (screen mirroring) option,NEUTRAL
621,have face the screen cast problem,NEGATIVE
622,"picture quality is excellent,,,sound quality is good",POSITIVE
623,Although I have seen people writing about low brightness,POSITIVE
624,high brightness.- picture quality is excellent,POSITIVE
625,d panel of the this Led is worst.,NEGATIVE
626,AUDIO VIDEO sync problem,NEGATIVE
627,to set up your TV picture settings for best quality,POSITIVE
628,good to see such a HD,POSITIVE
629,video quality is poor,NEGATIVE
630,picture quality is awesome,POSITIVE
631,Very nice picture quality,POSITIVE
632,Amazing picture quality with good,POSITIVE
633,picture quality full on HD,NEUTRAL
634,Picture quality is good,POSITIVE
635,Nice picture quality with HD,POSITIVE
636,Picture quality is good,POSITIVE
637,Hd quality is best,POSITIVE
638,Good Quality display HD content,POSITIVE
639,good TV with very good picture quality,POSITIVE
640,nice  TV  amazing  full clarity  screen,POSITIVE
641,picture quality nice,POSITIVE
642,Nice  picture quality,POSITIVE
643,nice picture,POSITIVE
644,There is Avery excellent clearity,POSITIVE
645,Best  picture,POSITIVE
646,Display problems,NEGATIVE
647,Screen is worst,NEGATIVE
648,excellent picture quality,POSITIVE
649,Beautiful clarity with great,POSITIVE
650,Screen cast not working,NEUTRAL
651,Excellent picture quality,POSITIVE
652,Purchase a HD DTH setup Box for best Picture Quality,POSITIVE
653,Don't expect Sony picture quality,NEUTRAL
654,Nice clarity,POSITIVE
655,Excellent picture quality,POSITIVE
656,One of the best HD,POSITIVE
657,Awesome products premium picture quality,POSITIVE
658,want to have good image then don't think for it,POSITIVE
659,product good quality image,POSITIVE
660,Picture quality are amazing,POSITIVE
661,picture clarity superb,POSITIVE
662,good performance for mi full hd,POSITIVE
663,PICTURES quality is awesome,POSITIVE
664,picture quality is superb,POSITIVE
665,led is very good performance the picture quality,POSITIVE
666,Picture quality is awesome,POSITIVE
667,Awesome picture quality,POSITIVE
668,Picture quality is awesome,POSITIVE
669,picture quality is really good,POSITIVE
670,Good picture quality,POSITIVE
671,product hd quality anybody's want book now good hd pictures,POSITIVE
672,low budget tv with good picture quality,POSITIVE
673,Very nice picture quality,POSITIVE
674,Very nice picture quality,POSITIVE
675,Picture quality superb,POSITIVE
676,Picture quality is good,POSITIVE
677,Picture engine is good,POSITIVE
678,Picture quality is good,POSITIVE
679,awesome picture quality with good,POSITIVE
