,0,1,2,,
90,...Poor camera quality.,Poor camera quality,NEGATIVE,,
91,...awesome.Value for money...Battery and camera aslo pretty good..Overall performance also quite nice.,camera aslo pretty good,POSITIVE,,
92,...Display & camera is wrost. Please don't buy it.,camera is wrost,NEGATIVE,,
93,"...than average , performance is also good. Battery draining little bit faster",Battery draining little bit faster,NEGATIVE,,
94,...product is really bad in my opinion.the camera quality is extremely bad. The touch sensitive is not that smooth,camera quality is extremely bad,NEGATIVE,,
95,...Super camera and battery is v gd condition,Super camera,NEUTRAL,,
96,...The back camera is nothing more than VGA camera. It disappoints me very much. It takes much,The back camera is nothing more than VGA camera,POSITIVE,,
97,...Nice handset in this prize..Camera quality is nice.Performance good..All over Nice phone,Camera quality is nice,POSITIVE,,
98,...Very nice phone but cemara is very good,cemara is very good,POSITIVE,,
99,...Camera performance is very poor.,Camera performance is very poor,NEGATIVE,,
100,...product exchange option of flipkart and really this phn looks awesome with good processor and camera quality...go for it...value for money,really this phn looks awesome with good processor and camera quality,POSITIVE,,
101,...Good phone but camera is poor and little bit hitting problems   rest is,camera is poor,NEGATIVE,,
102,...after 6months of use.1. Heating issue.2. Camera is poor comparing other brand in this segment.3,Camera is poor,NEGATIVE,,
103,"...but it does not have watermark in it , it has dual camera and in this price it is the best product",it has dual camera,POSITIVE,,
104,...Camera Quality not that much good.,Camera Quality not that much good,NEGATIVE,,
105,...It is a very good camera but charging works very slowly but all of,It is a very good camera,POSITIVE,,
106,"...Nice mobile , good camera, big battery, nice performance",good camera,POSITIVE,,
107,...Good camera and capacity,Good camera,POSITIVE,,
108,"...Camera is superb,battery backup is awesome......",Camera is superb,POSITIVE,,
109,...Camera is good,Camera is good,POSITIVE,,
110,"...Great budget phone, but you have to compromise on camera little bit.",you have to compromise on camera little bit,NEGATIVE,,
111,...This is nice product but this mobile camera and proceacer vary bad not interested for,this mobile camera,NEGATIVE,,
112,...Very nice camera quality...,Very nice camera quality,POSITIVE,,
113,...Selfie camera is good but back camera in not so good and processor,Selfie camera is good,POSITIVE,,
114,"...battery, display, censor etc is awesomebut camera is good vale for money ,you can buy this product",camera is good,POSTIVE,,
115,...phones. Battery and performance are awesome. Camera is very good and is more then what is expected,Camera is very good,POSITIVE,,
116,...Very good Mobile at this money range. Camera quality is little poor but at this range Ok,Camera quality is little poor,NEGATIVE,,
117,...Good mobileBad cemra,Bad cemra,NEGATIVE,,
118,...Camera quality is very good,Camera quality is very good,POSITIVE,,
119,"...The mobile was very good, battery backup is very good, camera was its OK, totally value for money","is very good, camera",POSITIVE,,
120,...Vary bad camera and display problem,Vary bad camera,NEGATIVE,,
121,"...Camera quality is very poor, Indoor Pics was not good.  Battery power",Camera quality is very poor,NEGATIVE,,
122,"...properly even i have not installed many apps, camera quality is very poor, not even a single pic is good, the only",camera quality is very poor,NEGATIVE,,
123,...The phone is very good and camera is especially  very clear,camera is especially  very clear,POSITIVE,,
124,...Affordable prices and better performance but Camera quality is so bad. There is need to improve camera quality,Camera quality is so bad,NEGATIVE,,
125,"...sometime the mobile is working slow, it's camera is good, but it's processor is not good",camera is good,POSITIVE,,
126,...Battery and over all performance is good. Poor camera. But totally with respect to money its good,Poor camera,NEGATIVE,,
127,...Worth penny Mobile under 10k front camera is awesome and mobile performance too gud,Worth penny Mobile under 10k front camera is awesome,POSITIVE,,
128,...Super camera,Super camera,POSITIVE,,
129,...Camera quality is not soo good.. was expecting a better camera,was expecting a better camera,POSITIVE,,
130,...Awesome camera,Awesome camera,POSTIVE,,
131,...Value for money....Camera is Good.....,Camera is Good,POSITIVE,,
132,...back up is awesome and look wise fine..camera is very good..,camera is very good,POSITIVE,,
133,...Poor camera quality.Not good in this price,Poor camera quality,NEGATIVE,,
134,"...display, nice sound quality, fast processor, best camera, budget phone ðï¿½",best camera,POSITIVE,,
135,...Camera would have been better,Camera would have been better,POSITIVE,,
136,...Batter but camera is poor,camera is poor,NEGATIVE,,
137,...an excellent deal at that price point. I am little bit disappointed with this truth. My experience with phone is overall well,I am little bit disappointed with this truth,NEGATIVE,,
138,...is very high. The quality is very bad. Camera is very poor. This is my 3rd Mi phone. But this one is,Camera is very poor,NEGATIVE,,
139,...Nice pic,Nice pic,POSTIVE,,
140,"...All things are good camera, battery, display. But one thing is that",All things are good camera,POSITIVE,,
141,"...The phone is good, but at this price, the camera could have been a bit better. Slow motion video option is not there.",the camera could have been a bit better,NEUTRAL,,
142,...Best camera better than I thought,Best camera better than I thought,POSITIVE,,
143,...cost  it' s heavy.. The display is dull.. The rear  camera is as good as a 8 megapixel.. Selfies are outo beautified so the face,The rear  camera is as good as a 8 megapixel,POSITIVE,,
144,...Worst camera ever seen price also hike after lockdown did not expect such a worst clarity of a redmi phone,Worst camera ever seen price also hike after lockdown did not expect such a worst clarity of a redmi phone,NEGATIVE,,
145,...Camera quality very poor,Camera quality very poor,NEGATIVE,,
146,...Looks fabulous.Performance is also great. Camera is very good in day light. Selfie camera isn't good indoors,Camera is very good,POSITIVE,,
147,...Perfect camera,Perfect camera,POSITIVE,,
148,...I liked little bit problem in the camera segment bu it's a budget friendly smartphone although a super value for money product,I liked little bit problem in the camera segment bu it's a budget friendly smartphone,POSITIVE,,
149,...Super camera,Super camera,POSITIVE,,
150,...product with 4 GB ram & 64 GB storage. Best camera quality with 12+ 2 MP rear & 8 MP front camera. Supporting 5000mAh,Best camera quality with 12+ 2 MP rear,POSITIVE,,
151,...camera osm,camera osm,POSITIVE,,
152,...In this range this is a good product.Camera could have been betterDisplay is good.Battery is ok.Processor,Camera could have been better,POSITIVE,,
153,...Good phone with great performance and camera,Good phone with great performance and camera,POSITIVE,,
154,...Good phone for this range back camera is not good front camera is good. Battery back up good.,Good phone for this range back camera is not good front camera is good,POSITIVE,,
155,...Camera quality is very poor,Camera quality is very poor,NEGATIVE,,
156,"...Camera is too bad, don't buy this if you want a good camera",Camera is too bad,NEGATIVE,,
157,"...good quality and best valuable money and camera quality is also good, this is awesome product.",camera quality is also good,POSITIVE,,
158,...the interface.. processing was slow too & camera could hv been more better,camera could hv been more better,POSITIVE,,
159,...In a camera there is dust in back camera and it gives me bad pictures which are taken,In a camera there is dust in back camera,NEGATIVE,,
160,...I will be feeling happy  if proccessor would little bit of higher range. It's not heavy used mobile.,I will be feeling happy  if proccessor would little bit of higher range,POSITIVE,,
161,...If looking for a cell with good config and camera doesn't matter than go for itCamera quality is not good,If looking for a cell with good config and camera doesn't matter than go for it,POSITIVE,,
162,...Osm camera quality,Osm camera quality,POSITIVE,,
163,...Camers is worst totly worst bck camera,Camers is worst,NEGATIVE,,
164,...Poor camera quality,Poor camera quality,NEGATIVE,,
165,...Nice pic,Nice pic,POSITIVE,,
166,...Bad camera..... Good display... Good battery performance,Bad camera,NEGATIVE,,
167,...1. Nice camera.2. Little bit low battery while net is on.3. Display is good.4. Connectivity is,Little bit low battery while net is on,NEGATIVE,,
168,"...Bad Camera Quality, Better spend some more and go for phones",Bad Camera Quality,NEGATIVE,,
169,...Camera is good not best,Camera is good,POSITIVE,,
170,...Good i am happy super camera,Good i am happy super camera,POSITIVE,,
171,...battery is not good... camera is good,camera is good,POSITIVE,,
172,...Camara quality bad,Camara quality bad,NEGATIVE,,
173,...Camera and display is very poor apart from that OK mobile.,Camera and display is very poor,NEGATIVE,,
174,...Camera & Display is little bit disappointing. Not very well for youths if u can afford,Display is little bit disappointing,NEGATIVE,,
175,...Camera and display quality is poor,Camera and display quality is poor,NEGATIVE,,
176,...Very bad cameraVest of money,Very bad camera,NEGATIVE,,
177,...I liked this phone very good camera quality,I liked this phone very good camera quality,POSITIVE,,
178,...nice one with dual camera setup in budget phone. speaker its awesome loud and clear.,nice one with dual camera setup in budget phone,POSITIVE,,
179,...Good camera quality but full screen blur problem,Good camera quality,POSITIVE,,
180,...smoothThe phone getting hanged sometimesCamera is almost good The fast charging adapter is not included,Camera is almost good,POSITIVE,,
181,...Amazing phone....I must say front camera is good and back camera too...,I must say front camera is good,POSITIVE,,
182,"...-Camera quality too poor as compare to reviews pictures, and on google also, -it takes too much",Camera quality too poor as compare to reviews pictures,NEGATIVE,,
183,...Very nice ph...good camera...,good camera,POSITIVE,,
184,"...issues: NoneOverall it's value for money, If you have more budget then go for a phone with good camera and resolution",If you have more budget then go for a phone with good camera,POSITIVE,,
185,...Super phone at this price. Camera is ok. But battery life was awesome.,Camera is ok,POSITIVE,,
186,...Good camera,Good camera,POSITIVE,,
187,...option for heavy gaming and multi tasking. Camera is decent and battery backup is average too. Wht the,Camera is decent,POSITIVE,,
188,...It is not fast charging....camera is so poor,camera is so poor,NEGATIVE,,
189,...camera quality also not good day light and low light cant capture to properly in potrait mod video stabilization not good,low light cant capture to properly in potrait mod video stabilization not good,NEGATIVE,,
190,...Main camera is too Bad Selfie Camera is Good,Main camera is too Bad Selfie Camera is Good,NEUTRAL,,
191,...Best at this price point. But the delivery is little bit late due to Covid-19 situation. I think you can go for it.,the delivery is little bit late due to Covid-19 situation,NEGATIVE,,
192,...Awesome but price is a little bit high,price is a little bit high,POSITIVE,,
193,"...phone is quiet good, but there is compromised with back camera. battery is for a day long,  i like display",there is compromised with back camera,NEGATIVE,,
194,...very bad very soon battery gets dry and camera is almost ok to the mark but still overall performance,camera is almost ok,POSITIVE,,
195,...Bad quality camera & display,Bad quality camera,NEGATIVE,,
196,...Don't buy this Phone is heating very much Camera quality is to bad,Camera quality is to bad,NEGATIVE,,
197,"...in this price range.But your heavy user, you want a good game and even a camera, this product is not for you.But for those",you want a good game and even a camera,POSITIVE,,
198,"...Camera quality is very poor, other wise the phone is good in this price",Camera quality is very poor,NEGATIVE,,
199,...Good CameraPicture quality is good,Good Camera,POSITIVE,,
200,...Very good pic,Very good pic,POSITIVE,,
201,...really like the display of the mobile...Awesome camera..and good performance.these mobile is Value,Awesome camera,POSITIVE,,
202,...Lil bit better,Lil bit better,POSITIVE,,
203,"...Camera is very poor , Hang issue",Camera is very poor,NEGATIVE,,
204,...Awesome battery backup and camera quality.Very nice product in price range.,Awesome battery backup and camera quality,POSITIVE,,
205,...Best camera quality,Best camera quality,POSITIVE,,
206,...Back camera is verry bed bit good product,Back camera is verry bed bit good product,NEUTRAL,,
207,...Display and camera can be way better in this price range.Rest is good,camera can be way better in this price range,POSITIVE,,
208,...Its good but its camera is very bad and pls dont buy if have more budget i will,camera is very bad,NEGATIVE,,
209,...Fabulous phone but little bit costly,little bit costly,NEGATIVE,,
210,...Best camara,Best camara,POSITIVE,,
211,...Camera quality bad,Camera quality bad,NEGATIVE,,
212,...What a phone but little bit costly,little bit costly,NEGATIVE,,
213,...All are good but front camera ok ok and back camera bad and battery is very,front camera ok ok,POSITIVE,,
214,...Camera quality specially front camera should be improved.,Camera quality specially front camera should be improved,NEGATIVE,,
215,...Not for gamers and expecting very good camera,expecting very good camera,POSITIVE,,
216,"...Fingerprint and face lock beautiful, Camera is perfect only.",Camera is perfect,POSITIVE,,
217,"...The product is awesome , but Oly d front camera is bad â¹ï¸",Oly d front camera is bad â¹,NEGATIVE,,
218,...am very sure this one serves her tasks.Camera looks good.Touch is smooth.Performance is good.There,Camera looks good,POSITIVE,,
219,...Camera quality is very poor and defective,Camera quality is very poor,NEGATIVE,,
220,...Camera is best mobile is very smooth,Camera is best mobile,POSITIVE,,
221,...Very bad camera quality.. dont buy this. Weaste of money,Very bad camera quality,NEGATIVE,,
222,"...phone is amazing and storage capacity, camera clarity & display is good.",camera clarity & display is good,POSITIVE,,
223,...Best camera,Best camera,POSITIVE,,
224,...Camera is so so poor !! You can get better camera on this price,Camera is so so poor,NEGATIVE,,
225,...Nice picture nice mobile,Nice picture nice mobile,POSITIVE,,
226,"...battery, display , processor are too good. Camera must have been a bit more refined. Overall the best deal in the budget.",Camera must have been a bit more refined,NEGATIVE,,
227,...â¢12 +2 MP camera (Back) and 8MP (Front). Camera is awesome and performs decent . â¢5000mah Battery!!,Camera is awesome,POSITIVE,,
228,...Amazing camera and battery,Amazing camera,NEUTRAL,,
229,...Genuine Product. Value for money. Good Camera.,Good Camera,POSITIVE,,
230,...The front camera is good.But the rear camera is average.The face,The front camera is good,POSITIVE,,
231,...Good Product Really Loved It. Camera Is Good but there is  little quality issues. Battery,Camera Is Good,POSITIVE,,
232,...Camera quality is nice but can not capture video outdoor for more,Camera quality is nice,POSITIVE,,
233,...Good product but camera not Soo good all ok,Good product but camera not Soo good all ok,POSITIVE,,
234,...Bad  Camera,Bad  Camera,NEGATIVE,,
235,...phone is good but camera quality is too much bad.....,camera quality is too much bad,NEGATIVE,,
236,...Good phone but camera quality not good,Good phone but camera quality not good,POSITIVE,,
237,...In 10k Camera is good. But performance is better.Very smooth,Camera is good,POSITIVE,,
238,...I am so happy redmi 8(onyx black) is good product redmi8 is best mobile best mobile battery is Better camera is best performance is great and display  designed is super duper hit,is good product redmi8 is best mobile best mobile battery is Better camera is best performance is great,POSITIVE,,
239,...Good Product But the camera is average not so so good Baterry is awesome  but after,camera is average,NEGATIVE,,
240,...for 1 full day on a single charge. The camera is pretty decent for this price. The pre-installed miui,camera is pretty decent,POSITIVE,,
241,...Camera is not that quality which mentioned in specification and battery performance is approx same as 4000mAh suggested to buy,Camera is not that quality which mentioned in specification and battery performance is,NEGATIVE,,
242,...Camera very poor,Camera very poor,NEGATIVE,,
243,...It camera is good but it has low features in camera,POSITIVE,NEGATIVE,,
244,...to common people's Good battery backup Camera and storage are sufficiently good,Camera and storage are sufficiently good,POSITIVE,,
245,...price(got it for 8999/- in Flipkart Sale). Camera quality is very very nice..,Camera quality is very very nice,NEUTRAL,,
246,"...Phone , and I found this , Literally the camera is awesome it takes best quality images in daylight",camera is awesome,POSITIVE,,
247,...1 and half hours to charge the phone 5.Camera quality is very much poor,Camera quality is very much poor,POSITIVE,,
248,...pros:-front camera is goodback  camera is not  good in normal mode,camera is good,POSITIVE,,
249,...in this segment this is a good device. I think fingerprint sensor is little bit slower. Just go for it.,I think fingerprint sensor is little bit slower,NEGATIVE,,
250,...not as such when I buy it. Apart which camera is good.,camera is good,POSITIVE,,
251,...Poor camera quality.,Poor camera quality,NEGATIVE,,
252,...Camera is bad,Camera is bad,NEGATIVE,,
253,...battery of this mobile is awesome and the camera and the display is also good. So I recommend you to buy this product,camera and the display is also good,POSITIVE,,
254,"...Phone looks good but the camera quality is so bad,  i was expecting a better camera quality",camera quality is so bad,NEGATIVE,,
255,...Awesome camera,Oly d front camera is bad â¹,NEUTRAL,,
256,...Camera is good and looks too,Camera is good,POSITIVE,,
257,"...jack off all! King of none kind of phone. Got a decent camera, got a decent processor, decent battery",Got a decent camera,POSITIVE,,
258,...Camera quality is very badAnd no earphone inbox,Camera quality is very bad,NEGATIVE,,
259,...Camera quality is so good..,Camera quality is so good,POSITIVE,,
260,...Phone is awesome but camera is just average,camera is just average,POSITIVE,,
261,...Good. Phone nice battery pickup And average camera but performance is good,average camera,POSITIVE,,
262,...Camera is very very poor. It captures photo like 2 or 3 Mega Pixel,Camera is very very poor,NEGATIVE,,
263,"...connectivity that's bit disappointing , both camera is good at that mega pixel,battery is working fine",camera is good,POSITIVE,,
264,...Good camaraDisplay and,Good camara,POSITIVE,,
265,...emerald green colour.. It's the best one!! Back camera is so so but the front one is quite good.Battery,Back camera is so so,POSITIVE,,
266,...fill the battary.Update on 26 sept. 2020.After using a few week it the back side paint faded out near from rear Camera without any reason . Poor painting on material.,2020.After using a few week it the back side paint faded out near from rear Camera without any reason,NEGATIVE,,
267,"...bought this for my unclePocket friendly, decent camera and my uncle loves it.Good battery backup",decent camera,POSITIVE,,
268,...Camera is very good,Camera is very good,POSITIVE,,
269,...Camera poorDisplay poorPerformance poorBattery backup,Camera poor,NEGATIVE,,
270,...Camera is not upto the mark. Realme is giving better camera in this price range. Phone is not light weight due to 5000mah,Realme is giving better camera in this price range,POSITIVE,,
271,...Very good product    ..camera is osm clearty......ram Manegmant is so good....it's  product,camera is osm clearty,POSITIVE,,
272,"...Awsm,, bt price is little bit more",price is little bit more,NEGATIVE,,
273,...Camera kwality very poor,Camera kwality very poor,NEGATIVE,,
274,...Best in this budget but likely little bit expensive overall best for beginners,likely little bit expensive overall best for beginners,NEGATIVE,,
275,...Worst camera....   Worst performance ......,Worst camera,NEGATIVE,,
276,...wise it's good phone in this range but surprisingly front camera do not have flash at least from now a days it is expected that even front camera should have flash.However apart from above it's good phone,surprisingly front camera do not have flash at least from now a days it is expected that even front camera should have flash,NEGATIVE,,
277,...Camera in pro mode we get super pics,Camera in pro mode we get super pics,POSITIVE,,
278,...All good but camera is poor,camera is poor,NEGATIVE,,
279,...Battery Power. Then You Can Buys This.But If Your Planining To Buy a Better Camera Quality Then I Will Suggest You To Didn't Buy This.If In Your Case Camera Quality Doesn't Matter,If Your Planining To Buy a Better Camera Quality Then I Will Suggest You To Didn't Buy This,NEGATIVE,,
280,...Camera quality is very very poor. Worrying now why I purchased this,Camera quality is very very poor,NEGATIVE,,
281,...Good phone but camera is not Good,Good phone but camera is not Good,NEGATIVE,,
282,...front camera not working,front camera not working,NEUTRAL,,
283,...Redmi back camera is very poor.Redmi sellers and performance  is a very,camera is very poor,NEGATIVE,,
284,...is so good. Looking so beautifulðâ¨â¤. But camera is so poo, camera is so poo,NEGATIVE,,
285,.......  sometimes getting switch off.... any way little bit ok,any way little bit ok,POSITIVE,,
286,"...Very stylish, camera is awesome, product is genuine, it's worthy",camera is awesome,POSITIVE,,
287,...Nice Products under this range super camera quality and display picture,Nice Products under this range super camera quality,POSITIVE,,
288,...Everything is ok except rear camera...,rear camera,POSITIVE,,
289,...good...But overall performance is good...Camera quality is bad....,Camera quality is bad,NEGATIVE,,
290,...Camera is very poor,Camera is very poor,NEGATIVE,,
291,...Very bad camara quality for moneyï¿½,Very bad camara quality for money,NEGATIVE,,
292,...The camera quality is very poor.,camera quality is very poor,NEGATIVE,,
293,...Flash light itself is not working and camera quality is very bad,camera quality is very bad,NEGATIVE,,
294,...Best phone under 10k... 2 day battery ..decent camera,decent camera,POSITIVE,,
295,...Camera is very bad,Camera is very bad,NEGATIVE,,
296,...Very Nice product and camera is super I like this phone very much,camera is super I like this phone very much,POSITIVE,,
297,...Good product but camera is not to good but value for money.... Delivery too slow,Good product but camera is not to good,NEGATIVE,,
298,...Little bit heavier and note that it is not for heavy gaming,Little bit heavier,NEGATIVE,,
299,...Selfi camera is best,Selfi camera is best,POSITIVE,,
300,...worthwhile price   But I purchased mobile 10k  for 64 gb price little bit high,for 64 gb price little bit high,NEGATIVE,,
301,"...FOR GOOD THIS PHONE IS CHARGING PROBLUM,CAMERA IS POOR BUT COMPANY IS NOT RESPONDING IN CUSTOMER",CAMERA IS POOR,NEGATIVE,,
302,...Average camera but a good phone in budget,Average camera,POSITIVE,,
303,...I m very happy camera good but not ok and battery back are good 2day,very happy camera good,POSITIVE,,
304,...Very good.1) Excellent battery backup.2) Excellent Camera quality3) Excellent gaming..4) everything is good,Excellent Camera quality,POSITIVE,,
305,...very good thank you so much Flipkart but the dilivery man is little bit kahdoosï¿½ï¿½,the dilivery man is little bit kahdoosï¿½,NEGATIVE,,
306,...Battery is awesome performance is good camera is averageBut display is not good,camera is average,POSITIVE,,
307,...they should have given a 1080p display .Camera is average.,Camera is average,POSITIVE,,
308,...price range with Great battery back up. Camera is good but can better. Good value for money. Satisfied,Camera is good,POSITIVE,,
309,"...Bad camera ,light, speaker,But nic look  design","camera ,light, speaker,But nic",POSITIVE,,
310,...Bettery backup is good Camera is averageDisplay quality is poor Performance is,Camera is average,POSITIVE,,
311,...Little bit costly overall phone is good.,Little bit costly overall phone is good,POSITIVE,,
312,...Camara is worst quality,Camara is worst,NEGATIVE,,
313,...mobile too good & budget phone for me...& Camera & battery is too good,Camera & battery is too good,POSITIVE,,
314,...Bad camera quality,Bad camera quality,NEGATIVE,,
