Causal Phrase,Sentiment,,
camera quality is very bad,NEGATIVE,,
Bad camera,NEGATIVE,,
camera is good,POSITIVE,,
super back camera,POSITIVE,,
Camera is average,NEUTRAL,,
gud camera,POSITIVE,,
Camera quality is very good,POSITIVE,,
Camera is excellent,POSITIVE,,
delivery date 16/02/2020)...It seems the front camera does not working,NEGATIVE,,
this time little bit costlier than earlier one,NEGATIVE,,
Everything good but camera could be a little better,POSITIVE,,
Camera and performance is average look Wise good,NEUTRAL,,
best camerað·ð·ð·,POSITIVE,,
Camera quality in outdoor light condition is very decent,POSITIVE,,
Camera is grt,POSITIVE,,
Best camera phone in this range,POSITIVE,,
excellent in day light conditions,POSTIVE,,
camera suffers in low light,NEGATIVE,,
Super camera,POSITIVE,,
Woow great phone for everything camera is good performance is good battery backup is amazing even pubg works good in phone,POSITIVE,,
camera quality is very bad,NEGATIVE,,
camera is good,POSITIVE,,
camera quality is poor,NEGATIVE,,
Because it's camera very bad,NEGATIVE,,
a little bit heavy,POSITIVE,,
Very poor camara,NEGATIVE,,
Display is good there is little bit of room for improvement as well,POSITIVE,,
Very nice  good cemra ,POSITIVE,,
Poor camera quality,NEGATIVE,,
camera aslo pretty good,POSITIVE,,
camera is wrost,NEGATIVE,,
Battery draining little bit faster,NEGATIVE,,
camera quality is extremely bad,NEGATIVE,,
Super camera,NEUTRAL,,
The back camera is nothing more than VGA camera,POSITIVE,,
Camera quality is nice,POSITIVE,,
cemara is very good,POSITIVE,,
Camera performance is very poor,NEGATIVE,,
really this phn looks awesome with good processor and camera quality,POSITIVE,,
camera is poor,NEGATIVE,,
Camera is poor,NEGATIVE,,
it has dual camera,POSITIVE,,
Camera Quality not that much good,NEGATIVE,,
It is a very good camera,POSITIVE,,
good camera,POSITIVE,,
Good camera,POSITIVE,,
Camera is superb,POSITIVE,,
Camera is good,POSITIVE,,
you have to compromise on camera little bit,NEGATIVE,,
this mobile camera,NEGATIVE,,
Very nice camera quality,POSITIVE,,
Selfie camera is good,POSITIVE,,
camera is good,POSTIVE,,
Camera is very good,POSITIVE,,
Camera quality is little poor,NEGATIVE,,
Bad cemra,NEGATIVE,,
Camera quality is very good,POSITIVE,,
"is very good, camera",POSITIVE,,
Vary bad camera,NEGATIVE,,
Camera quality is very poor,NEGATIVE,,
camera quality is very poor,NEGATIVE,,
camera is especially  very clear,POSITIVE,,
Camera quality is so bad,NEGATIVE,,
camera is good,POSITIVE,,
Poor camera,NEGATIVE,,
Worth penny Mobile under 10k front camera is awesome,POSITIVE,,
Super camera,POSITIVE,,
was expecting a better camera,POSITIVE,,
Awesome camera,POSTIVE,,
Camera is Good,POSITIVE,,
camera is very good,POSITIVE,,
Poor camera quality,NEGATIVE,,
best camera,POSITIVE,,
Camera would have been better,POSITIVE,,
camera is poor,NEGATIVE,,
I am little bit disappointed with this truth,NEGATIVE,,
Camera is very poor,NEGATIVE,,
Nice pic,POSTIVE,,
All things are good camera,POSITIVE,,
the camera could have been a bit better,NEUTRAL,,
Best camera better than I thought,POSITIVE,,
The rear  camera is as good as a 8 megapixel,POSITIVE,,
Worst camera ever seen price also hike after lockdown did not expect such a worst clarity of a redmi phone,NEGATIVE,,
Camera quality very poor,NEGATIVE,,
Camera is very good,POSITIVE,,
Perfect camera,POSITIVE,,
I liked little bit problem in the camera segment bu it's a budget friendly smartphone,POSITIVE,,
Super camera,POSITIVE,,
Best camera quality with 12+ 2 MP rear,POSITIVE,,
camera osm,POSITIVE,,
Camera could have been better,POSITIVE,,
Good phone with great performance and camera,POSITIVE,,
Good phone for this range back camera is not good front camera is good,POSITIVE,,
Camera quality is very poor,NEGATIVE,,
Camera is too bad,NEGATIVE,,
camera quality is also good,POSITIVE,,
camera could hv been more better,POSITIVE,,
In a camera there is dust in back camera,NEGATIVE,,
I will be feeling happy  if proccessor would little bit of higher range,POSITIVE,,
If looking for a cell with good config and camera doesn't matter than go for it,POSITIVE,,
Osm camera quality,POSITIVE,,
Camers is worst,NEGATIVE,,
Poor camera quality,NEGATIVE,,
Nice pic,POSITIVE,,
Bad camera,NEGATIVE,,
Little bit low battery while net is on,NEGATIVE,,
Bad Camera Quality,NEGATIVE,,
Camera is good,POSITIVE,,
Good i am happy super camera,POSITIVE,,
camera is good,POSITIVE,,
Camara quality bad,NEGATIVE,,
Camera and display is very poor,NEGATIVE,,
Display is little bit disappointing,NEGATIVE,,
Camera and display quality is poor,NEGATIVE,,
Very bad camera,NEGATIVE,,
I liked this phone very good camera quality,POSITIVE,,
nice one with dual camera setup in budget phone,POSITIVE,,
Good camera quality,POSITIVE,,
Camera is almost good,POSITIVE,,
I must say front camera is good,POSITIVE,,
Camera quality too poor as compare to reviews pictures,NEGATIVE,,
good camera,POSITIVE,,
If you have more budget then go for a phone with good camera,POSITIVE,,
Camera is ok,POSITIVE,,
Good camera,POSITIVE,,
Camera is decent,POSITIVE,,
camera is so poor,NEGATIVE,,
low light cant capture to properly in potrait mod video stabilization not good,NEGATIVE,,
Main camera is too Bad Selfie Camera is Good,NEUTRAL,,
the delivery is little bit late due to Covid-19 situation,NEGATIVE,,
price is a little bit high,POSITIVE,,
there is compromised with back camera,NEGATIVE,,
camera is almost ok,POSITIVE,,
Bad quality camera,NEGATIVE,,
Camera quality is to bad,NEGATIVE,,
you want a good game and even a camera,POSITIVE,,
Camera quality is very poor,NEGATIVE,,
Good Camera,POSITIVE,,
Very good pic,POSITIVE,,
Awesome camera,POSITIVE,,
Lil bit better,POSITIVE,,
Camera is very poor,NEGATIVE,,
Awesome battery backup and camera quality,POSITIVE,,
Best camera quality,POSITIVE,,
Back camera is verry bed bit good product,NEUTRAL,,
camera can be way better in this price range,POSITIVE,,
camera is very bad,NEGATIVE,,
little bit costly,NEGATIVE,,
Best camara,POSITIVE,,
Camera quality bad,NEGATIVE,,
little bit costly,NEGATIVE,,
front camera ok ok,POSITIVE,,
Camera quality specially front camera should be improved,NEGATIVE,,
expecting very good camera,POSITIVE,,
Camera is perfect,POSITIVE,,
Oly d front camera is bad â¹,NEGATIVE,,
Camera looks good,POSITIVE,,
Camera quality is very poor,NEGATIVE,,
Camera is best mobile,POSITIVE,,
Very bad camera quality,NEGATIVE,,
camera clarity & display is good,POSITIVE,,
Best camera,POSITIVE,,
Camera is so so poor,NEGATIVE,,
Nice picture nice mobile,POSITIVE,,
Camera must have been a bit more refined,NEGATIVE,,
Camera is awesome,POSITIVE,,
Amazing camera,NEUTRAL,,
Good Camera,POSITIVE,,
The front camera is good,POSITIVE,,
Camera Is Good,POSITIVE,,
Camera quality is nice,POSITIVE,,
Good product but camera not Soo good all ok,POSITIVE,,
Bad  Camera,NEGATIVE,,
camera quality is too much bad,NEGATIVE,,
Good phone but camera quality not good,POSITIVE,,
Camera is good,POSITIVE,,
is good product redmi8 is best mobile best mobile battery is Better camera is best performance is great,POSITIVE,,
camera is average,NEGATIVE,,
camera is pretty decent,POSITIVE,,
Camera is not that quality which mentioned in specification and battery performance is,NEGATIVE,,
Camera very poor,NEGATIVE,,
POSITIVE,NEGATIVE,,
Camera and storage are sufficiently good,POSITIVE,,
Camera quality is very very nice,NEUTRAL,,
camera is awesome,POSITIVE,,
Camera quality is very much poor,POSITIVE,,
camera is good,POSITIVE,,
I think fingerprint sensor is little bit slower,NEGATIVE,,
camera is good,POSITIVE,,
Poor camera quality,NEGATIVE,,
Camera is bad,NEGATIVE,,
camera and the display is also good,POSITIVE,,
camera quality is so bad,NEGATIVE,,
Oly d front camera is bad â¹,NEUTRAL,,
Camera is good,POSITIVE,,
Got a decent camera,POSITIVE,,
Camera quality is very bad,NEGATIVE,,
Camera quality is so good,POSITIVE,,
camera is just average,POSITIVE,,
average camera,POSITIVE,,
Camera is very very poor,NEGATIVE,,
camera is good,POSITIVE,,
Good camara,POSITIVE,,
Back camera is so so,POSITIVE,,
2020.After using a few week it the back side paint faded out near from rear Camera without any reason,NEGATIVE,,
decent camera,POSITIVE,,
Camera is very good,POSITIVE,,
Camera poor,NEGATIVE,,
Realme is giving better camera in this price range,POSITIVE,,
camera is osm clearty,POSITIVE,,
price is little bit more,NEGATIVE,,
Camera kwality very poor,NEGATIVE,,
likely little bit expensive overall best for beginners,NEGATIVE,,
Worst camera,NEGATIVE,,
surprisingly front camera do not have flash at least from now a days it is expected that even front camera should have flash,NEGATIVE,,
Camera in pro mode we get super pics,POSITIVE,,
camera is poor,NEGATIVE,,
If Your Planining To Buy a Better Camera Quality Then I Will Suggest You To Didn't Buy This,NEGATIVE,,
Camera quality is very very poor,NEGATIVE,,
Good phone but camera is not Good,NEGATIVE,,
front camera not working,NEUTRAL,,
camera is very poor,NEGATIVE,,
camera is so poo,NEGATIVE,,
any way little bit ok,POSITIVE,,
camera is awesome,POSITIVE,,
Nice Products under this range super camera quality,POSITIVE,,
rear camera,POSITIVE,,
Camera quality is bad,NEGATIVE,,
Camera is very poor,NEGATIVE,,
Very bad camara quality for money,NEGATIVE,,
camera quality is very poor,NEGATIVE,,
camera quality is very bad,NEGATIVE,,
decent camera,POSITIVE,,
Camera is very bad,NEGATIVE,,
camera is super I like this phone very much,POSITIVE,,
Good product but camera is not to good,NEGATIVE,,
Little bit heavier,NEGATIVE,,
Selfi camera is best,POSITIVE,,
for 64 gb price little bit high,NEGATIVE,,
CAMERA IS POOR,NEGATIVE,,
Average camera,POSITIVE,,
very happy camera good,POSITIVE,,
Excellent Camera quality,POSITIVE,,
the dilivery man is little bit kahdoosï¿½,NEGATIVE,,
camera is average,POSITIVE,,
Camera is average,POSITIVE,,
Camera is good,POSITIVE,,
"camera ,light, speaker,But nic",POSITIVE,,
Camera is average,POSITIVE,,
Little bit costly overall phone is good,POSITIVE,,
Camara is worst,NEGATIVE,,
Camera & battery is too good,POSITIVE,,
Bad camera quality,NEGATIVE,,
Colour of mobile near back camera,POSITIVE,,
"Camera very poor,, redmi 8 not smart",NEGATIVE,,
gud camera quality,POSITIVE,,
Bad camera,NEGATIVE,,
2. Front camera aver,NEGATIVE,,
little bit photo maniac,NEGATIVE,,
Nice pic,POSITIVE,,
the camera is average,POSITIVE,,
Camera is also no good,NEGATIVE,,
bad camera quality,NEGATIVE,,
Camera quality is poor,NEGATIVE,,
Camera quality is very bad,NEGATIVE,,
Camera is average,POSITIVE,,
Bad camera quality,NEGATIVE,,
Camera and display can be better,POSITIVE,,
"camera looks good,but it have only 2 rear cameras,front cam also better",POSITIVE,,
everything fine but the camera,NEGATIVE,,
Camera and performance is very bad,NEGATIVE,,
Nice Phone little bit high cost as per features,NEGATIVE,,
camera are good,POSITIVE,,
Camera is somewhat good,POSITIVE,,
wish camera had been than mediocre,POSITIVE,,
Camera is quite good,POSITIVE,,
Nice phone with good battery and camera,POSITIVE,,
The camera quality could be,POSITIVE,,
Camera is best,POSITIVE,,
Camera is  very average compare to letv,POSITIVE,,
Price little bit highà¥¤.Average phone in normal price,NEUTRAL,,
Camera is good for selfie,POSITIVE,,
camera is very good,POSITIVE,,
Display not HD  Bettery good camera poor performance Bettery,NEGATIVE,,
Camera is good,POSITIVE,,
bad camara,NEGATIVE,,
Osm camera,POSITIVE,,
Camera is poor,NEGATIVE,,
Camera quality is poor,NEGATIVE,,
rate is little bit high,NEGATIVE,,
camera is little bit poor,NEGATIVE,,
Nice pic,POSITIVE,,
Rear camera is so badð£,NEGATIVE,,
Good pic,POSITIVE,,
Camera is just good,POSITIVE,,
Nice pic,POSITIVE,,
If you want a good phone  without a good camera you can buy it blindly,POSITIVE,,
Camera quality is very poor,NEGATIVE,,
If you are looking for better camera don't buy this,NEGATIVE,,
not really satisfied with the camera quality,NEGATIVE,,
Camera is goodNot satisfied,POSITIVE,,
Camera quality is really bad,NEGATIVE,,
Camera performance,NEGATIVE,,
Very bad phone no good camera,NEGATIVE,,
Average camera,POSITIVE,,
Camera quality is little bit poor,NEGATIVE,,
)Camera looks very dull,NEGATIVE,,
charging little bit slow comparing to other models its working good,NEGATIVE,,
camera quality could be,NEUTRAL,,
Camera is average,POSITIVE,,
back camera is very bad,NEGATIVE,,
camera is very poor,NEGATIVE,,
camera quality is too bad,NEGATIVE,,
great quality video recording,POSITIVE,,
camera Quality is poor,NEGATIVE,,
camera quality is very poor,NEGATIVE,,
best camera perform ,POSITIVE,,
Camera quality very Poor. Please don't purchase this phone camera performance,NEGATIVE,,
Camera is perfect,POSITIVE,,
Front Camera Not So Good,NEGATIVE,,
Camera is the best,POSITIVE,,
Camera is good,POSITIVE,,
Front camera,NEUTRAL,,
Only thing you can't take slow-motion videos,NEGATIVE,,
display rear camera very good,POSITIVE,,
Camera and display clarity is very good,POSITIVE,,
Good camera a bit slow,POSITIVE,,
Awesome camera,NEUTRAL,,
Camera is very poor,NEGATIVE,,
Good camera,NEUTRAL,,
camera is average,POSITIVE,,
Camera is good,POSITIVE,,
Camera quality is best,POSITIVE,,
awesome camera quality is good,POSITIVE,,
Most liked product good camera quality,POSITIVE,,
Battery bacup is very good camera  quality is week,POSITIVE,,
Poor camera,NEGATIVE,,
slow motion camera,NEGATIVE,,
Gud camara,POSITIVE,,
Camera is worst,NEGATIVE,,
3 Worst camera,NEGATIVE,,
camera is very impressive,POSITIVE,,
camera is ok,POSITIVE,,
Camera quality is very bad,NEGATIVE,,
Camera and display quality is very bad,NEGATIVE,,
Camera quality is very poor,NEGATIVE,,
Dual camera,POSITIVE,,
the camera is average quality,POSITIVE,,
Camera is superb  for photography,POSITIVE,,
When compared with price paid to specs given one may  little bit disappointed,NEGATIVE,,
features are good camera is good working nice,POSITIVE,,
Excellent camera quality,POSITIVE,,
it's processor is little bit slow,NEGATIVE,,
dual rear camera setup,POSITIVE,,
nice camera quality,POSITIVE,,
camera quality is good,POSITIVE,,
Superb camera,POSITIVE,,
camera is pretty good,POSITIVE,,
Nicc phone camera is good,POSITIVE,,
Battery bacup is good good camera quality,POSITIVE,,
Camra quality very bad,NEGATIVE,,
Camera is good,POSITIVE,,
Osm camera quality,POSITIVE,,
My Redmi 3s had much better camera than this,POSITIVE,,
Camera needs a little improvement,POSITIVE,,
Camera is slightly good,POSITIVE,,
redmi 5 has better camera than this mobile,NEGATIVE,,
Camera is very bad,NEGATIVE,,
Good camera,POSITIVE,,
MashaAllah such a wonderful device i really love it cheaper in rate best quality best camera every thing is best,POSITIVE,,
CAMERA IS GOOD BATTERY IS,POSITIVE,,
Camera is ok,POSITIVE,,
camera and specs are good,POSITIVE,,
camera is good,POSITIVE,,
Nice phone super camera,POSITIVE,,
Camera is poor,NEUTRAL,,
good camera,POSITIVE,,
Good mobile but camera is not good battery is excellent must buy I got at 9799,POSITIVE,,
good camera,POSITIVE,,
Superb camera,POSITIVE,,
Camera is too bad,NEGATIVE,,
Camera performance is very poor,NEGATIVE,,
Value for money average camera,POSITIVE,,
poor camera,NEGATIVE,,
Camera so cool,POSITIVE,,
camera quality is very poor,POSITIVE,,
Superb camera,POSITIVE,,
Very good camera,POSITIVE,,
Superb camera,POSITIVE,,
Camera is ok,POSITIVE,,
Camera is good,POSITIVE,,
Camera is better,POSITIVE,,
Superb camera,POSITIVE,,
Camera quality very bad,NEGATIVE,,
average camera,POSITIVE,,
Bad camera,NEGATIVE,,
Front camera is pretty good,POSITIVE,,
Camera is good,POSITIVE,,
camera is bad,NEGATIVE,,
camera is osm,POSITIVE,,
camera quality is more than better,POSITIVE,,
if you buy this phone to play pubg please don't buy this because pubg graphics are so bad in this phone and camera is not good as other,NEGATIVE,,
camera very good,POSITIVE,,
Fabulous batter back up is so good camera quality is above average,POSITIVE,,
Camera quality is good,POSITIVE,,
Camera could be better,POSITIVE,,
CAMERA IS GOOD,POSITIVE,,
"camera quality , display quality,the battery backup and fast charging feature is superb",POSITIVE,,
Rear Camera,NEUTRAL,,
a little bit slow,NEGATIVE,,
Price little bit high,NEGATIVE,,
Camera is avarage,POSITIVE,,
camera quality is very bad,NEGATIVE,,
Poor camera,NEGATIVE,,
camera quality is bad,NEGATIVE,,
Little bit heavy in weight,NEGATIVE,,
Battery is good camera shaking big screen,POSITIVE,,
camera could have been little better,NEGATIVE,,
Camera quality is poor,NEGATIVE,,
poor camera quality,NEGATIVE,,
Poor Camera quality,POSITIVE,,
camera is not as expected,NEGATIVE,,
Good pic,POSITIVE,,
Camera is good,NEGATIVE,,
Camera quality is awesome,POSITIVE,,
Price is little bit high,NEGATIVE,,
camera is average,POSITIVE,,
best camera in this pric,POSITIVE,,
Good mobile but Camera clearty not Good Plz,NEGATIVE,,
Second problem is poor camera,NEGATIVE,,
Good quality best camera excellent battery,POSITIVE,,
Camera is superb,POSITIVE,,
selfie fornt camera avarege,NEUTRAL,,
Not bad just average Camera very poor,NEGATIVE,,
camera is very poor nice battery backup,NEUTRAL,,
camera also good,POSITIVE,,
3 months of use I found problem with rear camera I was enable to use portrait mode,NEGATIVE,,
camera is good,POSITIVE,,
Good camera performance,POSITIVE,,
camera is very good,POSITIVE,,
Performance is little bit good,NEGATIVE,,
Nice pic,POSITIVE,,
I am happy with this phone awesome phone great camera,POSITIVE,,
Sujay good camara,POSITIVE,,
NYC phone best camera quality,POSITIVE,,
Camera as good as a 12 MP lens,POSITIVE,,
camera quality is also good,POSITIVE,,
Bad quality camera,NEUTRAL,,
Camera Is Poor,NEGATIVE,,
BEST CAMERA,POSITIVE,,
"mobile, camera",POSITIVE,,
Super camera,NEUTRAL,,
this segment it's little bit much costlier,NEUTRAL,,
Camera is average,NEUTRAL,,
camera was poor,NEGATIVE,,
Camera Was Good,POSITIVE,,
Good camera,NEUTRAL,,
camera is also good,POSITIVE,,
Decent camera,POSITIVE,,
Front camera is not so well,NEGATIVE,,
camera is average,POSITIVE,,
Camera is decent,POSITIVE,,
nice camera quality,POSITIVE,,
Camera performence is very poor,NEGATIVE,,
Price is little bit high,POSITIVE,,
camera is poor,NEGATIVE,,
good camera,NEUTRAL,,
good camera,POSITIVE,,
Camera is Good,POSITIVE,,
camera is good,POSITIVE,,
camera quality is bad,NEGATIVE,,
Camera can be a little bit better,POSITIVE,,
camera is gud,NEUTRAL,,
Camera quality is very bad,NEGATIVE,,
good pic I would not recommend this phone,POSITIVE,,
good camera quality,POSITIVE,,
Best camera in money value,POSITIVE,,
Good phone display and camera is not good only for use normal use I am purchase this phone in my mom,NEGATIVE,,
Camera is average quality didn't get any delay in portrait,POSITIVE,,
Really Great Camera,POSITIVE,,
Camera is clear,POSITIVE,,
Poor camera quality,NEUTRAL,,
Good camera,POSITIVE,,
good camera,POSITIVE,,
Camera quality is good,NEUTRAL,,
Good camera,NEUTRAL,,
Camera is worst,NEGATIVE,,
awesome camera,POSITIVE,,
the dual camera,NEGATIVE,,
Camera is ok,POSITIVE,,
camera quality is very good,POSITIVE,,
Camara is good,POSITIVE,,
good camera quality,POSITIVE,,
Camera Quality very bad,NEGATIVE,,
back camera is just good daylight shots are marvellous night shot is bad even bad in comparison to redmi note 4,POSITIVE,,
perfect camera,POSITIVE,,
Camera is good,POSITIVE,,
Camera quality is very good,POSITIVE,,
Display quality poor battery excellent camera okk,POSITIVE,,
Camera is averag,NEGATIVE,,
camera and processor could have been better,POSITIVE,,
camera is just OK,POSITIVE,,
"Camera , battery , display ,performance is best",POSITIVE,,
Proccesor is littlebit slow,NEGATIVE,,
Good camera,POSITIVE,,
Good cemra,NEUTRAL,,
Best camera,NEUTRAL,,
Good Camera Quality,POSITIVE,,
Camera is bad,NEGATIVE,,
Good camara big display high performance on gaming,NEUTRAL,,
Camera needs a bit more improvement,POSITIVE,,
"is bit slower, camera",NEUTRAL,,
camera is awesome,POSITIVE,,
Excellent phone great camera recieved phone on time thanks to flipkart,POSITIVE,,
I think price is little bit high as compared to phones,POSITIVE,,
bt the mobile has worst camera,NEGATIVE,,
Nice pic,NEUTRAL,,
I used just 1 year it's good battery is also good camera just fine for that price,POSITIVE,,
camera is quite Awesome,POSITIVE,,
Super camera,NEUTRAL,,
e camera quality can be more Bett,POSITIVE,,
It feels a little bit heavier as it has a massive battery,POSITIVE,,
Good Camera,NEUTRAL,,
Bad camera,NEGATIVE,,
Camera is quite good,POSITIVE,,
Bad camera,NEGATIVE,,
camera bad,NEGATIVE,,
Camera is ok,NEGATIVE,,
Camera quality is poor,NEUTRAL,,
Camera is awesome,POSITIVE,,
camera quality is excellent,POSITIVE,,
Camera is unbelievable awesome,POSITIVE,,
great camera,POSITIVE,,
camera could be better,POSITIVE,,
awesome camera,NEUTRAL,,
Very good camara,POSITIVE,,
camera is fine,POSITIVE,,
Camera very bad,NEGATIVE,,
awesome camera,NEUTRAL,,
camera is awesome,POSITIVE,,
Camera and display is average,POSITIVE,,
Camera is also bad,NEGATIVE,,
camera front super,POSITIVE,,
is little bit slow in processing also it's touch sensitivity is not as it is supposed to be,NEUTRAL,,
Best mobile but camera,NEGATIVE,,
GOOD CAMERA,POSITIVE,,
"camera,  battery is toooo good",POSITIVE,,
Camera is ok,NEGATIVE,,
Camera is ok,NEUTRAL,,
Camera is average,NEUTRAL,,
Excellent phone and camera also,POSITIVE,,
A budget phone with best camera,POSITIVE,,
Nice pic,NEUTRAL,,
superb camera,POSITIVE,,
Good camera quality,POSITIVE,,
Average camera,POSITIVE,,
GOOD CAMERA,POSITIVE,,
this camera very good,POSITIVE,,
as redmi phones are popular for best camera quality,POSITIVE,,
Camera is awesome,POSITIVE,,
From 1st day little bit in display some time not work,NEUTRAL,,
Osm camera,NEUTRAL,,
Camera good,POSITIVE,,
Nice phone camera is disappointing,NEGATIVE,,
a little bit heavy handset,NEUTRAL,,
camera quality all are best,POSITIVE,,
Camera is very bad,NEGATIVE,,
little bit pubg,POSITIVE,,
Good camera,POSITIVE,,
Gud camera gud battery backup,POSITIVE,,
amazing camera,POSITIVE,,
awesome camera,NEUTRAL,,
good camera,POSITIVE,,
"The display of the phone is also quite good,But the lacks during gameplay also it has average camera",NEUTRAL,,
The phone is great in the price segment good camera,POSITIVE,,
Camera is also decent,NEUTRAL,,
camera and graphics are good,POSITIVE,,
Nice pic,NEUTRAL,,
Best camera quality,POSITIVE,,
Great camera,POSITIVE,,
Camera is best,POSITIVE,,
It is the monster phone in budget  Superb gaming and camera performance is very good,POSITIVE,,
Display is a little bit coarse you have to add a little bit powder to get a better experience,POSITIVE,,
rear camera not upto the mark,NEUTRAL,,
Front camera also lacks flash,POSITIVE,,
the processor is not enough powerful for gaming the battery backup is awesome camera is average,POSITIVE,,
Good camera,POSITIVE,,
camera is very poor,NEGATIVE,,
Nice pic,NEUTRAL,,
Poor camera quality,POSITIVE,,
48mp camera is only bkwass,POSITIVE,,
cemera are best,POSITIVE,,
camera quality is so poor,NEUTRAL,,
worst camera,POSITIVE,,
Good camera,NEUTRAL,,
Rear camera is of worst quality,NEGATIVE,,
Nice pic good mobile,POSITIVE,,
clear camera,POSITIVE,,
If you're looking for a mobile with good camera,POSITIVE,,
Camera is too bad,NEGATIVE,,
Camera quality is very very poor,NEGATIVE,,
good pic,NEUTRAL,,
Very best camera,POSITIVE,,
Camera quality is very good,POSITIVE,,
This mobile is amazing battery life and camera is just awesome,POSITIVE,,
Good Phone good camera 5000mh battery 4gb ram,POSITIVE,,
Good camera,POSITIVE,,
camera is good,POSITIVE,,
Camera is average,POSITIVE,,
Super camera,NEUTRAL,,
decent camera,POSITIVE,,
picture will be clear,POSITIVE,,
Betery backup is good camera is ok okand display quality is very poor,POSITIVE,,
Nice picture,POSITIVE,,
Cemara performance is poor,NEGATIVE,,
Good camera quality,POSITIVE,,
camera is ok,NEGATIVE,,
Camera is awesome,POSITIVE,,
Camera is decent,POSITIVE,,
decent camera at this price good Xaomi,POSITIVE,,
quick delivery service to me all features of this mobile server your some best camera,POSITIVE,,
This smartphon is very good battery backup better camera is better on this price,POSITIVE,,
Best camera,NEUTRAL,,
back camera also good,POSITIVE,,
Fantastic camera,NEUTRAL,,
Awesome camera,NEUTRAL,,
camera very bad,NEGATIVE,,
good camera,POSITIVE,,
Nic pic,NEUTRAL,,
Camera is good,POSITIVE,,
Camera are Awesome,NEUTRAL,,
Awesome pic from rear camera,NEUTRAL,,
Osm camera,NEUTRAL,,
camara is good,POSITIVE,,
Good camera,POSITIVE,,
Need camera more better,POSITIVE,,
camera is perfect thanks u flipkart ,POSITIVE,,
redmi 7 provides a better camera than this,POSITIVE,,
back camera very good nice phone value of money,POSITIVE,,
"Good software, camera",POSITIVE,,
next I have to talk about the product the product is good it is not hanging  phone is best camera quality is good sound quality is good display quality is good everything is good,POSITIVE,,
it's Good Cemra,POSITIVE,,
Camera quality utterly bad,POSITIVE,,
Front camera is bad,NEGATIVE,,
Good camera good battery value for money mobile very good,POSITIVE,,
Very good camera,POSITIVE,,
Camera is awesome,POSITIVE,,
Camera is good,POSITIVE,,
Very gd camera quality,NEUTRAL,,
camera is good,POSITIVE,,
Worst camera,NEUTRAL,,
Superb excellent camera quality,POSITIVE,,
Camera quality is sooooo,NEUTRAL,,
Camera quality is so bad,NEGATIVE,,
Fall in love Camara Pro mode is super. 2days battery life in normal,POSITIVE,,
Camera is bad rest is,NEGATIVE,,
camera is poor,POSITIVE,,
good camera,POSITIVE,,
Awesome camera performance in this rate,NEUTRAL,,
battery performance good camera i like low budget people this mobile okk,POSITIVE,,
if u want a phone with good  camera quality dont buy  this phone,POSITIVE,,
64 GB in this price with dual camera,NEUTRAL,,
good battery support with a amazing camera at a very reasonable price,POSITIVE,,
camera is good as descriped,NEGATIVE,,
main camera not very good,POSITIVE,,
best camera,POSITIVE,,
Camera Or display should be more better,POSITIVE,,
